ID,speaker,portrait,Text
1,소제목,,~요르~
2,,,"하늘 위로 거대한 불기둥이 생겨났고 로봇들의 잔해가
그들의 머리 위로 떨어지기 시작했다."
3,레이나,10001,역시… ‘레바테인’의 화력 담당..
4,루나,10003,역시.. 펜..기루…
5,펜리르,10004,펜리르라고!!
6,루나,10003,펜리르라고 했습니다.
7,펜리르,10004,아니거든!!
8,헬,10005,잠깐.. 얘들 좀 이상하게 움직이지 않아?
9,클레아,10002,"도망치는 건가..?
"
10,레이나,10001,아냐.. 지금까지 몰려와서 공격만 했지 도망가는 건 본 적 없잖아.
11,레이나,10001,우아악 모르겠어! 대체 공격만 하던 저 녀석들이 왜..
12,루나,10003,새로운 패턴이 아닐까요?
13,헬,10005,아냐.. 이건 도망가는 게 아니고..
14,펜리르,10004,그런 건 중요하지 않아! 지금 당장 쫓아가서 다 부숴버리자고!!
15,,,펜리르의 ‘파워드 슈트’는 큰 소리와 함께 로봇들을 쫓아갔다.
16,클레아,10002,펜리르! 잠시만요!!
17,레이나,10001,하.. 제길 일단 따라가자!
18,루나,10003,원래 바보는 용감합니다.
19,레이나,10001,그렇다기엔.. 단순한 용감한 게 아닌 것 같은데..
20,,,분명 다른게 있지.. 헬?
21,레이나,10001,"용감하다기 보다 너무 무리하는 것 같아…
마치 화가.. 난 것 같다고 해야 할까..?"
22,헬,10005,…
23,클레아,10002,헬? 왜 그러세요?
24,헬,10005,저 녀석.. 펜리르는 로봇에게 강한 적대감을 가지고 있어.
25,헬,10005,"그날.. 너희가 우승한 날..
다른 이유로 나와 펜리르에겐 최악의 날이 되었거든."
26,헬,10005,요르? 펜리르? 다들 괜찮아?
27,펜리르,10004,이게 무슨 난리야! 죽는 줄 알았잖아!
28,요르,10006,나가서 상황을 한번 보자고
29,,,"문을 살짝 열고 밖을 살핀 요르에 눈에 난장판이 된 경기장과 도망치는 사람들,
그리고 그들에게 무차별적으로 총을 쏘아대는 로봇들이 보였다."
30,,,요르는 다시 문을 조심히 닫고 심호흡했다.
31,요르,10006,후..
32,헬,10005,괜찮아? 무슨 일이야? 밖에서 들려오는 소리는..
33,요르,10006,다들 장비 챙겨.
34,펜리르,10004,제대로 설명을..
35,요르,10006,나도 뭐라고 설명해야 할지 모르겠으니까..!
36,요르,10006,확실한 건 우린 이문을 나서면 스포츠가 아니라 진짜 전투를 해야 할 거야.
37,,,요르의 얼굴을 본 펜리르와 헬은 더 이상 아무 말 하지 못했다.
