ID,speaker,portrait,Text
1,소제목,,~미확인 비행체~
2,펜리르,10004,젠장 이 녀석들 끝도 없이 몰려와…!
3,요르,10006,헬! 탈출구는?
4,헬,10005,로비가 완전히 박살 났어…
5,요르,10006,그럼.. ‘배틀 위치스’ 녀석들은..
6,헬,10005,잘 모르겠어.. 너무 난장판이라서 확인해 볼 수는 없겠어…
7,요르,10006,제길.. 최악이네.
8,펜리르,10004,잠깐 시간 좀 벌어 줘! 내가 벽을 날려버릴 테니까!
9,요르,10006,할 수 있겠어?
10,펜리르,10004,‘레바테인’의 화력 담당.. 그게 누구라고 생각하는 거야?
11,,,펜리르는 몸을 돌려 벽 쪽으로 달려가 손을 댔다.
12,,,곧 펜리르의 ‘파워드 슈트’의 손 부분이 점점 달아올랐다.
13,헬,10005,펜리르! 아직 멀었어?
14,펜리르,10004,보채지 마 짜샤! 조금만 더..!
15,,,땀에 젖은 펜리르의 정리되지 앞머리 사이로 두 눈이 반짝였다
16,펜리르,10004,흐랴아아아아!!
17,펜리르,10004,빨리 와! 가자!
18,헬,10005,요르! 빨리!
19,,,"요르는 손을 뻗어 헬의 손을 잡으려 했지만,
요르의 뒤로 수많은 로봇들이 그녀를 끌어당겼다."
20,요르,10006,가..! 빨리!.. 따라갈게!
21,레이나,10001,그..그런…
22,클레아,10002,"잠깐, 전방에 미확인 비행체 확인."
23,클레아,10002,로봇들이.. 되돌아가던 게.. 이 비행체를 향한 거 같은데.
24,클레아,10002,크기가… 이건.. 그냥 로봇이 아냐 설마..
25,펜리르,10004,얼마나 크건 상관없어! 그냥 부숴버려!
26,레이나,10001,클레아 지금 바로 추적 알고리즘 결과랑 비행체의 좌표를 비교해 줘.
27,클레아,10002,알겠어.
28,클레아,10002,좌표…일치…
29,클레아,10002,미확인 비행체.. 빠른 속도로 접근 중?
30,레이나,10001,루나! 펜리르! 당장 멈춰
31,???,,계속 방해가 되는군요.
32,레이나,10001,설마…
33,,,레이나의 눈앞에 거대한 비행체가 보였다.
34,,,"멀리 있어 크기를 알기 힘들던 그 물체는 빠른 속도로
그 크기를 가늠할 수 있을 만큼 가까이 다가오고 있었다."
35,헬,10005,젠장! 펜리르!! 돌아와!!
36,클레아,10002,아직 거리가 좀 있어. 도망치려면.. 지금뿐이야.
37,루나,10003,"우린 가능하겠지만, 펜…은 도망치기엔 무리입니다."
38,레이나,10001,덩치는 큰데.. 더럽게 빠르네..
39,레이나,10001,‘배틀 위치스’가 빚을 지고는 못 살지.
40,레이나,10001,이번엔 우리가 저 녀석을 구하자!
