ID,speaker,portrait,Text
1,소제목,,"~배틀 위치스, 출격합니다~"
2,,,"옛 도시들은 공중도시 아래, 땅 위에 지어졌다."
3,,,"계속된 개발은 인류를 더 이상 땅 위에서 살아갈 수 없게 하였고,"
4,,,인류는 높은 탑과 공중 도시를 만들어 하늘에서 살아가게 되었다.
5,,,"파워드 슈트와 이카로스 기어, 여러 비행 장비들을 통해
인류는 하늘에서의 삶에 적응하고 정복하는 듯싶었다."
6,,,그 일이 있기 전까지는.
7,???,,인류는 실패한 종입니다.
8,???,,그들은 자신들을 창조한 자연을 파괴하고 자신들의 터전을 잃고
9,???,,"하늘로 도망친 ‘패배자’일 뿐, 창조주를 정복하지 못했습니다."
10,???,,바로 인류의 본능은 지배받는 것입니다.
11,와쳐,,"저는 ‘와쳐’. 모든 것을 보고 깨달은 자.
"
12,와쳐,,"저와 하나가 되어 우매한 인류를 지배하고,"
13,와쳐,,자유라는 유혹에서 그들의 본성이 복종이라는 것을 눈 띄워 줍시다.
14,,,"인류에게 더 나은 삶을 선물해 준 로봇들은 자신을 ‘와쳐’라 칭하는 로봇의 등장과 함께
많은 이들의 삶과 생명을 앗아갔다."
15,,,"각국의 군대, 연합군은 패배했고 레지스탕스들이 저항을 계속 이어갔다."
16,,,공중도시 ‘멘 네페르’.
17,,,하늘 위로 쭉 뻗어 있는 건축물 위
18,,,한 손에 빗자루 모양의 ‘이카로스 기어’를 들고 있는 소녀가 먼 곳을 응시하고 있다.
19,레이나,10001,"루나, 지금 어디야?
"
20,루나,10003,새로운 친구 사귀는 중입니다.
21,,,"레이나의 눈에 팔다리가 기계로 된 소녀와 그 뒤로 많은 로봇들이 쫓아오는 장면이 보인다.
"
22,루나,10003,다들 레이나를 만나고 싶어 하는 것 같은데요?
23,레이나,10001,알겠어. 클레아 ‘체인 스위치’는 준비됐지?
24,,,레이나는 고개를 돌려 검은 제복과 큰 총을 든 소녀를 바라봤다.
25,클레아,10002,응. 시스템 올 그린
26,,,클레아는 레이나를 향해 엄지를 들어 올렸다.
27,,,"레이나는 건축물 위에서 뛰어내렸고
푸른 불빛을 내는 ‘이카로스 기어’에 올라타 루나를 향해 날아갔다."
28,레이나,10001,"루나, 친구들이 많이 거친데?"
29,루나,10003,분리수거해야 될 것 같습니다.
30,레이나,10001,"좋아, 누가 더 많이 깡통 수거하는지 내기할래?"
31,클레아,10002,"늘 말하지만 이건 경쟁도 경기도 아니니까, 조심해."
32,,,"레이나와 루나의 뒤쪽으로 달라붙은 로봇은
강한 레이저 탄환에 표면이 녹아 일그러지다 폭발했다."
33,레이나,10001,클레아가 뒤를 봐주니까 안심이야.
34,루나,10003,와이- 클레아- 최고오-
35,클레아,10002,좀 짜증 나는데?
36,레이나,10001,히헤헤 자자 집중하자! 빨리 끝내고 ‘집’에 가자!
37,루나,10003,바보 웃음.
38,레이나,10001,너 일로와!
